Country Name,Country Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aruba,ABW,,,,,,,,,,,,,,,,,,,,,,,,,,3.324540924,,,,
Afghanistan,AFG,1.884112773,1.995913063,1.332501747,1.760636542,2.245612996,1.485691936,1.548476916,1.599236643,1.648977886,1.570681102,1.686173124,1.827398887,1.360282562,1.325028253,1.143996358,1.267647242,1.408623132,1.460937575,2.147589912,2.617060398,2.939936558,3.755923312,2.984757176,2.751181713,2.637532569,2.457705002,,,,
Angola,AGO,4.605299718,4.772857958,5.155180405,7.090346605,6.944231409,6.285041085,5.816001771,5.507563152,5.143653728,5.233148287,5.218280891,5.227248303,5.876512797,6.025119691,5.590728406,4.568534589,4.151633624,3.612273135,3.435367756,3.64542774,3.697914144,3.695967555,3.857077991,3.615593683,3.646200582,3.605959068,,,,
Albania,ALB,7.912243196,7.866893331,6.153274822,5.501337309,5.40208456,4.478546955,4.380990718,4.19322073,4.240864148,5.01370938,4.705437455,4.443339271,4.696960808,4.344377214,4.517187374,4.275716533,3.958693064,3.568300331,3.442663378,3.409104943,3.256748236,3.322800967,2.941323617,3.382528489,3.158878953,2.886611482,,,,
Andorra,AND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,4.161014779,4.536309709,4.713871527,4.870452805,4.998206276,4.962750686,4.923850626,4.824835525,4.6201548,4.550970895,4.506724414,4.723778429,4.891309731,4.808529121,4.665290761,4.634998334,4.639787365,4.576093194,4.626283638,4.789990314,4.857822059,4.757558837,4.879857741,4.762786298,4.8339556,4.753832823,,,,
United Arab Emirates,ARE,4.122107259,4.700040512,4.328933622,4.49618333,4.660506232,4.641821735,4.632292926,4.522896209,4.611721539,4.576284544,4.036078477,5.076423573,4.915552589,4.444911249,4.327944637,4.388426055,4.148020195,4.363040043,5.002097827,5.335314939,5.401543554,5.354378162,5.324712688,5.220465415,5.268228526,5.080419658,,,,
Argentina,ARG,5.439096615,4.976391318,4.675156782,4.427266975,4.449945204,4.646260302,4.565404382,4.358095562,4.340047742,4.569068273,4.660004198,4.637306386,5.058086733,4.972667694,4.982357018,4.60310755,4.630748986,4.302810279,4.352851958,4.503318515,4.251181956,4.10057606,4.158853351,4.175141824,4.344156368,4.340101621,,,,
Armenia,ARM,24.37219694,29.09418599,25.41433453,14.79167683,8.823771098,9.847320092,10.07337073,10.19181254,9.674178935,9.054857915,9.395125724,8.537894311,7.056697863,6.533606886,6.253430401,6.586656314,5.925896372,5.808758548,5.721859565,5.79058511,5.390734123,5.630539878,5.745630912,5.430581129,5.347381268,5.382442932,,,,
American Samoa,ASM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,3.953882216,3.710418236,3.639860773,3.530636882,3.28467528,3.50668386,3.456936122,3.461551274,3.43076397,3.415401888,3.371332142,3.512185361,3.640217088,3.70822558,3.675154916,3.536519815,3.249176539,3.116334811,3.190453904,3.828721889,4.181389362,4.184252305,4.137797271,4.152174587,4.011551141,3.891629265,,,,
Australia,AUS,7.416865313,7.341423042,7.448726037,7.502966324,7.206735771,7.076343308,7.25302834,7.155548682,7.029638073,6.84048542,6.704753755,6.434317737,6.412698828,6.297904428,6.149718709,6.001137337,6.068309792,6.049090187,6.048628654,5.9604191,5.863813454,5.759660434,5.488347892,5.346124565,5.150979283,5.031155464,,,,
Austria,AUT,4.360147231,4.487398795,4.223352417,4.249310644,4.138391191,4.210651263,4.370014462,4.244695098,4.168238629,4.01507657,3.870489939,4.035368616,4.005342175,4.206381086,4.156259043,4.176705531,4.054619163,3.86861903,3.833557613,3.763536484,3.9477968,3.729968116,3.685536048,3.726138543,3.555638114,3.608376708,,,,
Azerbaijan,AZE,15.56773215,15.53230593,16.26152194,18.94970765,21.41715,22.81656074,19.03631814,17.33476474,16.35894819,14.16544041,13.17761042,12.14865925,11.09453283,10.49405336,10.01398588,8.319654598,6.096061348,4.462594036,4.431084492,3.62863822,3.358711178,3.639166761,3.88132061,3.719211335,3.762405728,3.730140783,,,,
Burundi,BDI,9.78518863,9.528846601,9.464861701,10.4120745,11.3215954,12.65530845,14.40298113,15.00265473,14.73072359,10.88262587,11.3449435,15.60267059,15.19299734,15.48795612,15.10539889,15.12467038,14.65311171,14.24473314,13.79717926,13.51131993,13.30081653,13.04384721,7.931523954,7.958483564,7.826447063,7.722184375,,,,
Belgium,BEL,6.621931887,6.793097133,6.764406205,6.668569831,6.855338697,6.81512238,7.06435019,6.812058023,6.790972163,6.583584835,6.432430662,6.362949995,6.008336417,6.208527992,6.019947749,5.889367817,5.695156695,5.413183527,5.535094703,5.440103234,5.698716746,5.213626749,4.983873047,5.164315523,4.782440467,4.741274111,,,,
Benin,BEN,9.551849739,9.304420965,9.260149538,8.955188148,8.968659679,8.642973366,9.647198512,9.466275219,8.982026692,8.894573168,7.254961503,7.325107099,7.50897607,7.655789775,7.653724135,7.551457437,8.572005956,8.793371797,8.569375631,8.78718414,9.142017246,9.12302419,9.031233378,8.831967482,8.615622669,9.07481537,,,,
Burkina Faso,BFA,12.91720727,12.03042375,12.33273446,12.25132462,12.44883783,11.90764095,10.96523872,10.57291014,10.03350826,6.630363484,6.802204123,6.389830473,5.216347116,4.997043287,5.952552277,6.877003536,6.93912579,7.028742614,6.984991906,6.84565604,6.438594833,6.273846712,6.172139832,6.271369012,5.949926311,6.03244507,,,,
Bangladesh,BGD,3.899469758,3.714224405,3.718039578,3.748966664,3.768983431,3.900833411,3.754144189,3.753244071,3.72007096,3.601241246,3.5389381,3.684130513,3.632886922,3.654838129,3.537152982,3.447571281,3.462797908,3.37923653,3.345618172,3.350706506,3.437324786,3.34942384,3.299577589,3.178493909,3.129437284,3.139805024,,,,
Bulgaria,BGR,14.59986149,12.37190284,12.46787236,13.57119819,12.92389419,13.63457464,13.3461696,12.23255874,11.37377084,11.01782545,10.6589913,10.65591435,9.793867278,9.551786574,8.719116575,8.589515595,8.272861592,7.555034851,7.055255267,6.497586047,6.629887109,7.02259481,6.689322713,6.086377139,6.35695483,6.384174926,,,,
Bahrain,BHR,12.48408539,11.04827848,11.39285525,10.63791412,11.3359089,11.04497315,10.60538159,11.59639947,11.62681592,11.04499987,11.07838126,11.10765323,11.11555728,11.12252323,10.43621219,11.22353106,11.29334147,10.91217067,11.13421668,10.54594465,10.44919913,10.23701359,9.79422095,10.13882683,9.922769246,9.785209771,,,,
"Bahamas, The",BHS,4.3429759,4.137246103,4.327688999,4.092933523,3.937550817,3.758468316,3.578945661,2.899915275,3.370853312,3.137042988,3.00075257,2.768690916,2.71018851,2.670320762,2.999904553,3.01412853,2.821683474,2.844703351,2.566425474,2.969592083,2.937502917,3.26212884,3.388623521,4.739870953,4.027368648,4.033472108,,,,
Bosnia and Herzegovina,BIH,47.10593136,46.7729445,35.20926574,29.98769994,10.44757244,9.004985847,5.566297891,6.394539646,6.875082617,6.207444223,7.716841285,7.143132158,7.116502978,6.831553989,7.039119158,6.78290436,6.768848282,6.406969454,6.826908516,7.330364068,7.583267144,8.285172225,7.823043819,7.377198592,8.753814155,8.723512471,,,,
Belarus,BLR,23.12784454,22.80707626,21.05220292,19.4039932,18.6608029,19.26698573,19.24661914,17.23318644,15.57329503,14.66597105,14.08769458,13.50905891,13.11045019,12.60871198,11.70003338,10.68391185,10.33864288,9.32464601,8.473414519,8.02913469,7.732634899,7.811359369,7.980433311,7.061407831,6.832916452,6.470068165,,,,
Belize,BLZ,8.555063667,8.544715692,7.44209268,7.418592053,7.375249592,7.581266822,6.801713794,7.740965159,7.153229944,6.443703022,6.362329764,6.383573171,5.962462211,5.33489759,5.083488943,4.884491878,5.124873401,5.050241209,4.594280816,5.355450921,5.056885358,5.445119933,4.694368437,4.848994519,4.529278834,5.106705462,,,,
Bermuda,BMU,2.937574222,3.335271999,2.818175623,3.206561671,3.151502506,2.997902485,2.899856506,2.751237402,2.626522781,2.479117464,2.288186911,2.165968408,2.297994965,2.238876727,2.258872356,2.215343624,2.362224749,2.735172715,2.382565825,1.840572882,2.308201796,1.757345064,2.038060826,1.945814721,2.298463362,2.026266021,,,,
Bolivia,BOL,4.300148891,4.211107438,4.388102377,4.499264604,4.73174146,5.072729199,5.225915979,5.430495408,5.226353035,5.114195891,5.581231251,4.270664342,4.995618305,5.056614415,4.859962609,5.076154077,6.062453788,4.723708253,4.732881215,4.769875997,4.990109225,5.009193571,5.478374723,5.157519266,5.167152493,4.948243093,,,,
Brazil,BRA,3.809575122,3.823798864,3.881791472,3.801583173,3.79938653,3.763228873,3.877785389,3.94084954,4.021782599,4.093738951,3.947845721,3.951217469,3.935620577,3.955210904,3.947738677,3.92159461,3.903329868,3.88866755,3.906363882,3.783438938,3.890559644,3.802765057,3.892953569,3.939832051,4.043844382,4.130221394,,,,
Barbados,BRB,4.645774512,5.287688108,4.51240196,5.31615887,3.658723426,3.89279356,3.807532035,3.7086796,4.159431319,4.4807475,4.206977855,4.375941609,4.249839702,4.269242415,4.327609866,4.324925453,4.172277376,4.105815187,4.87143963,5.129654304,4.738612744,4.683021406,4.560375586,4.470882929,3.877799352,3.78336014,,,,
Brunei Darussalam,BRN,3.651003116,4.002543733,4.10825437,3.942778303,3.546736396,4.067353727,3.979842618,4.171698416,4.177436551,4.133228955,4.040104354,3.640716185,3.425046538,3.86458634,3.525559043,3.391455174,4.616059019,4.719663684,5.283453305,4.619480474,4.794746667,5.540701162,5.427937907,4.388223656,4.749922448,3.6522582,,,,
Bhutan,BTN,30.01532148,30.2889944,29.32919454,28.51732598,27.56786543,26.31276717,25.65033959,25.15153476,24.32113225,22.8580281,21.79413599,20.47606632,18.98058529,17.79110221,16.83079261,16.21435454,15.50684475,13.73789061,13.6392183,13.20037747,12.55109166,11.75942347,11.56007434,11.64543574,11.06016415,10.40792258,,,,
Botswana,BWA,4.564233989,4.325961179,4.843910666,4.767090577,4.532921766,4.337375286,3.998546294,3.883625033,4.352530879,4.098529413,4.177480943,4.215876812,4.037431085,3.846477064,3.68296313,3.635083611,3.466821619,3.308913126,3.295927451,3.329069208,3.356478198,3.040764484,3.30144105,3.178144034,3.295525765,3.351028055,,,,
Central African Republic,CAF,11.19340123,11.28548654,12.80514298,12.81208248,11.43914363,10.67208023,9.843245006,9.644384081,9.225412672,7.008622409,7.200188247,6.796123853,6.558921252,6.880780213,6.528961416,6.483504121,6.32636172,6.057809276,5.947499609,5.84661294,5.705791049,5.589503201,5.468985607,8.733695375,8.86589517,8.103724765,,,,
Canada,CAN,10.16972227,10.36505173,10.51333425,10.58458036,10.48702548,10.34915049,10.3869578,10.06362528,9.6375443,9.42412165,9.219352101,8.926605269,8.692584036,8.990512106,8.923653206,8.69429228,8.373036595,8.25717246,8.245778296,8.176821239,8.012111495,7.968375106,7.738906899,7.661600544,7.647191113,7.341491418,,,,
Central Europe and the Baltics,CEB,10.74637761,10.244073,10.11929541,10.02818101,9.259856214,9.085009689,8.973749801,8.520594255,7.899920697,7.350391024,6.979518184,6.944785342,6.750532735,6.666610335,6.308359098,6.087259591,5.855171157,5.490339143,5.284312791,5.113478933,5.220865698,5.055453599,4.874856706,4.693706886,4.454842775,4.385113985,,,,
Switzerland,CHE,3.259338974,3.339558816,3.355852883,3.275964474,3.26410536,3.20213897,3.245266314,3.227810891,3.173438175,3.127694488,2.968949934,3.108250035,3.025583232,3.036591086,2.963374229,2.859747563,2.870579249,2.621101093,2.663215546,2.741257189,2.586760908,2.460109773,2.456806363,2.51924697,2.260459146,2.194576273,,,,
Channel Islands,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,4.828339866,4.572700142,4.404109161,4.218873194,4.291037187,4.1679587,4.297957228,4.514465296,4.528261805,4.848140596,4.665483307,4.429966482,4.488778814,4.36281735,4.381532265,4.279382091,4.266401146,4.208015603,4.034863536,3.968721052,3.921228151,4.03659434,4.237429395,4.238278689,3.768751083,3.776851218,,,,
